date,Bjorn Borg,John McEnroe,Novak Djokovic,Ivan Lendl,Jimmy Connors,Rafael Nadal,Roger Federer,Andy Murray,Jannik Sinner,Boris Becker,Guillermo Vilas,Carlos Alcaraz,Rod Laver,Stefan Edberg,Pete Sampras,Arthur Ashe,Mats Wilander,Andre Agassi,Ilie Nastase,Stan Smith,Vitas Gerulaitis,Gene Mayer,Ken Rosewall,John Newcombe,Brian Gottfried,Daniil Medvedev,Jose Luis Clerc,Tom Okker,David Ferrer,Jim Courier,Juan Martin del Potro,Alexander Zverev,Eddie Dibbs,Manuel Orantes,Miloslav Mecir,Kei Nishikori,Lleyton Hewitt,Joakim Nystrom,Gustavo Kuerten,Raul Ramirez
1968-02-08,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1545.3017373879118,1500.0,1500.0,1493.2219072337205,1500.0,1500.0,1500.0,1500.0,1514.7730048954268,1500.0,1500.0,1500.0,1541.7460416955214,1500.0,1500.0,1500.0,1500.0,1500.0,1512.511574855626,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-02-09,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1545.3017373879118,1500.0,1500.0,1493.2219072337205,1500.0,1500.0,1500.0,1500.0,1497.3386022065167,1500.0,1500.0,1500.0,1541.7460416955214,1500.0,1500.0,1500.0,1500.0,1500.0,1512.511574855626,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-02-10,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1545.3017373879118,1500.0,1500.0,1493.2219072337205,1493.4696120819588,1500.0,1500.0,1500.0,1497.3386022065167,1500.0,1500.0,1500.0,1541.7460416955214,1500.0,1500.0,1500.0,1500.0,1500.0,1512.511574855626,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-02-12,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1551.040825306042,1500.0,1500.0,1493.2219072337205,1501.09987287735,1500.0,1500.0,1500.0,1497.3386022065167,1500.0,1500.0,1500.0,1533.0670829369171,1500.0,1500.0,1500.0,1500.0,1500.0,1504.3593834942303,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-02-13,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1551.040825306042,1500.0,1500.0,1493.2219072337205,1501.09987287735,1500.0,1500.0,1500.0,1472.452230428375,1500.0,1500.0,1500.0,1533.0670829369171,1500.0,1500.0,1500.0,1500.0,1500.0,1504.3593834942303,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-02-16,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1551.040825306042,1500.0,1500.0,1493.2219072337205,1501.09987287735,1500.0,1500.0,1500.0,1482.0202756576798,1500.0,1500.0,1500.0,1533.0670829369171,1500.0,1500.0,1500.0,1500.0,1500.0,1504.3593834942303,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-02-20,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1551.040825306042,1500.0,1500.0,1493.2219072337205,1501.09987287735,1500.0,1500.0,1500.0,1482.4058198080554,1500.0,1500.0,1500.0,1540.4016410905904,1500.0,1500.0,1500.0,1500.0,1500.0,1497.2813184215656,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-02-26,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1566.378470752459,1500.0,1500.0,1493.2219072337205,1501.09987287735,1500.0,1500.0,1500.0,1482.4058198080554,1500.0,1500.0,1500.0,1538.434678733441,1500.0,1500.0,1500.0,1500.0,1500.0,1505.3473435939025,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-02-27,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1566.378470752459,1500.0,1500.0,1493.2219072337205,1501.09987287735,1500.0,1500.0,1500.0,1477.5579868740497,1500.0,1500.0,1500.0,1538.434678733441,1500.0,1500.0,1500.0,1500.0,1500.0,1505.3473435939025,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-03-04,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1566.378470752459,1500.0,1500.0,1493.2219072337205,1501.09987287735,1500.0,1500.0,1500.0,1477.5579868740497,1500.0,1500.0,1500.0,1568.3964958554259,1500.0,1500.0,1500.0,1500.0,1500.0,1507.5298845374582,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-03-11,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1566.378470752459,1500.0,1500.0,1493.2219072337205,1547.2903726401,1500.0,1500.0,1500.0,1477.5579868740497,1500.0,1500.0,1500.0,1603.6973192197404,1500.0,1500.0,1500.0,1500.0,1500.0,1524.909183508539,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-03-18,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1508.935226800934,1500.0,1500.0,1567.5539651092888,1500.0,1500.0,1525.5215057506546,1547.2903726401,1500.0,1500.0,1500.0,1477.5579868740497,1500.0,1500.0,1500.0,1608.7142640533364,1500.0,1500.0,1500.0,1500.0,1500.0,1516.7140409264512,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-03-22,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1508.935226800934,1500.0,1500.0,1567.5539651092888,1500.0,1500.0,1525.5215057506546,1547.2903726401,1500.0,1500.0,1500.0,1489.2103344869488,1500.0,1500.0,1500.0,1608.7142640533364,1500.0,1500.0,1500.0,1500.0,1500.0,1516.7140409264512,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-03-23,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1533.8665012390127,1500.0,1500.0,1567.5539651092888,1500.0,1500.0,1525.5215057506546,1547.2903726401,1500.0,1500.0,1500.0,1489.2103344869488,1500.0,1500.0,1500.0,1608.7142640533364,1500.0,1500.0,1500.0,1500.0,1500.0,1516.7140409264512,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-03-25,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1533.8665012390127,1500.0,1500.0,1578.8164097913761,1500.0,1500.0,1555.5921606158302,1554.4340892605844,1500.0,1500.0,1500.0,1489.2103344869488,1500.0,1500.0,1500.0,1614.1184064020913,1500.0,1500.0,1500.0,1500.0,1500.0,1523.8801068965063,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
