date,Bjorn Borg,John McEnroe,Novak Djokovic,Ivan Lendl,Jimmy Connors
1900-01-01,1500.0,1500.0,1500.0,1500.0,1500.0
1969-08-16,1500.0,1500.0,1500.0,1500.0,1490.71823601882
1970-08-17,1500.0,1500.0,1500.0,1500.0,1495.255625417927
1970-09-02,1500.0,1500.0,1500.0,1500.0,1496.0634864736703
1970-09-19,1500.0,1500.0,1500.0,1500.0,1507.6679283472065
1970-10-18,1500.0,1500.0,1500.0,1500.0,1522.2083309642642
1971-02-14,1500.0,1500.0,1500.0,1500.0,1524.399778677752
1971-02-21,1500.0,1500.0,1500.0,1500.0,1530.6101253107374
1971-03-01,1500.0,1500.0,1500.0,1500.0,1535.3203287037502
1971-06-21,1500.0,1500.0,1500.0,1500.0,1529.5048662560016
1971-07-17,1500.0,1500.0,1500.0,1500.0,1524.127905793022
1971-07-24,1500.0,1500.0,1500.0,1500.0,1528.9415890233076
1971-08-01,1500.0,1500.0,1500.0,1500.0,1565.9959535736962
1971-08-02,1500.0,1500.0,1500.0,1500.0,1572.7450963333322
1971-08-09,1500.0,1500.0,1500.0,1500.0,1571.1485228084375
1971-09-01,1500.0,1500.0,1500.0,1500.0,1579.9393970244316
1971-09-20,1500.0,1500.0,1500.0,1500.0,1587.2478327838642
1971-11-01,1497.9449319803657,1500.0,1500.0,1500.0,1587.2478327838642
1971-12-13,1497.9449319803657,1500.0,1500.0,1500.0,1633.770144098092
1972-01-09,1497.9449319803657,1500.0,1500.0,1500.0,1652.2408109515325
1972-01-21,1497.9449319803657,1500.0,1500.0,1500.0,1655.3293959785121
1972-02-01,1497.9449319803657,1500.0,1500.0,1500.0,1674.399895524146
1972-02-14,1497.9449319803657,1500.0,1500.0,1500.0,1689.0648640031934
1972-02-20,1497.9449319803657,1500.0,1500.0,1500.0,1700.7507361606501
1972-02-28,1497.9449319803657,1500.0,1500.0,1500.0,1703.9173969845845
1972-03-05,1497.9449319803657,1500.0,1500.0,1500.0,1713.7519785894478
1972-03-06,1497.9449319803657,1500.0,1500.0,1500.0,1718.9759140909366
1972-04-16,1507.8003617202985,1500.0,1500.0,1500.0,1740.1506996207224
1972-04-17,1507.8003617202985,1500.0,1500.0,1500.0,1741.501251787792
1972-04-24,1507.8003617202985,1500.0,1500.0,1500.0,1734.379432116082
1972-05-05,1526.0422220013334,1500.0,1500.0,1500.0,1734.379432116082
1972-05-13,1526.0422220013334,1500.0,1500.0,1500.0,1728.128477320931
1972-05-19,1529.3495162413772,1500.0,1500.0,1500.0,1728.128477320931
1972-05-22,1529.3495162413772,1500.0,1500.0,1500.0,1728.6701209700234
1972-06-12,1513.0758397506258,1500.0,1500.0,1500.0,1728.6701209700234
1972-06-17,1513.0758397506258,1500.0,1500.0,1500.0,1707.5376510345254
1972-06-23,1511.4075034687637,1500.0,1500.0,1500.0,1707.5376510345254
1972-06-24,1511.4075034687637,1500.0,1500.0,1500.0,1713.0061480652728
1972-06-26,1511.4075034687637,1500.0,1500.0,1500.0,1765.8817559903864
1972-07-16,1530.552131481037,1500.0,1500.0,1500.0,1765.8817559903864
1972-07-23,1530.552131481037,1500.0,1500.0,1500.0,1784.9947460410788
