player,age,elo,helo,helo_rank,celo,celo_rank,gelo,gelo_rank,peak_elo,peak_month,atp_rank,log_diff
Ugo Blanchet,26.8,1625.6,1607.8,133.0,1537.4,178.0,1490.3,198.0,1662.1,2025-08,143.0,0.12
Fabio Fognini,38.1,1622.9,1568.7,158.0,1620.0,119.0,1554.3,136.0,2003.8,2014-04,,
Emil Ruusuvuori,26.5,1622.1,1598.8,140.0,1566.4,164.0,1584.5,107.0,1893.2,2023-06,574.0,-1.26
Daniel Evans,35.2,1621.1,1584.6,151.0,1532.8,181.0,1608.4,85.0,1902.5,2021-04,183.0,-0.11
Facundo Diaz Acosta,24.8,1619.7,1527.2,191.0,1609.6,129.0,1445.9,261.0,1791.9,2024-02,224.0,-0.31
Aleksandar Kovacevic,27.1,1618.2,1598.0,141.0,1490.2,226.0,1485.0,202.0,1758.8,2024-04,62.0,0.98
James Duckworth,33.7,1613.8,1575.0,154.0,1519.7,193.0,1553.8,138.0,1785.9,2021-11,113.0,0.39
Tristan Schoolkate,24.6,1611.9,1568.4,159.0,1369.0,350.0,1591.8,102.0,1703.1,2025-07,99.0,0.53
Pedro Martinez,28.5,1610.0,1554.1,167.0,1604.7,131.0,1466.4,230.0,1844.3,2022-04,95.0,0.58
Justin Engel,18.0,1603.7,1582.8,152.0,1432.4,276.0,1530.9,159.0,1603.7,2025-10,193.0,-0.13
Tomas Barrios Vera,27.8,1601.2,1511.0,206.0,1579.6,147.0,1568.8,120.0,1710.3,2023-07,122.0,0.34
Elmer Moller,22.2,1599.8,1483.4,233.0,1573.9,152.0,1529.0,162.0,1741.1,2025-04,138.0,0.22
Luca Van Assche,21.4,1597.6,1574.9,155.0,1556.9,169.0,1503.7,189.0,1801.5,2023-04,172.0,0.01
Lukas Klein,27.6,1595.6,1519.8,199.0,1621.2,118.0,1554.4,135.0,1777.5,2024-03,123.0,0.35
Juan Carlos Prado Angelo,20.6,1595.4,1405.8,315.0,1577.3,150.0,1497.7,194.0,1611.6,2025-10,226.0,-0.26
Jurij Rodionov,26.4,1593.6,1563.7,161.0,1547.9,172.0,1513.4,174.0,1702.1,2023-06,161.0,0.09
Matteo Gigante,23.7,1591.8,1533.6,182.0,1598.0,136.0,1457.1,249.0,1709.5,2025-05,151.0,0.16
Facundo Bagnis,35.5,1590.7,1512.9,202.0,1583.8,145.0,1363.2,406.0,1737.0,2021-07,398.0,-0.8
Alex Bolt,32.7,1589.7,1535.6,178.0,1359.9,360.0,1580.2,113.0,1688.9,2019-03,198.0,-0.1
Billy Harris,30.7,1588.6,1547.0,173.0,1442.6,267.0,1546.7,141.0,1711.4,2024-06,124.0,0.37
Yu Hsiou Hsu,26.5,1588.5,1560.3,163.0,1424.2,285.0,1395.7,346.0,1648.0,2023-11,220.0,-0.2
